parcellation_label,parcellation_term_label,parcellation_term_set_label,parcellation_index,voxel_count,volume_mm3,color_hex_triplet,red,green,blue,parcellation_term_name,parcellation_term_acronym,parcellation_term_set_name,term_set_order,term_order,parent_term_label
AllenCCF-Annotation-2020-997,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,987,3564320,3.5643200000000004,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,63,256520,0.25652,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,63,256520,0.25652,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,63,256520,0.25652,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,63,256520,0.25652,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-68,AllenCCF-Ontology-2017-SUBS,63,256520,0.25652,#268F45,38,143,69,"Frontal pole, layer 1",FRP1,substructure,4,1,AllenCCF-Ontology-2017-184
AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,657,232608,0.23260800000000004,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,657,232608,0.23260800000000004,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,657,232608,0.23260800000000004,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,657,232608,0.23260800000000004,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-667,AllenCCF-Ontology-2017-SUBS,657,232608,0.23260800000000004,#268F45,38,143,69,"Frontal pole, layer 2/3",FRP2/3,substructure,4,2,AllenCCF-Ontology-2017-184
AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1288,371584,0.3715840000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1288,371584,0.3715840000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1288,371584,0.3715840000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,1288,371584,0.3715840000000001,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-526157192,AllenCCF-Ontology-2017-SUBS,1288,371584,0.3715840000000001,#268F45,38,143,69,"Frontal pole, layer 5",FRP5,substructure,4,3,AllenCCF-Ontology-2017-184
AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1289,112222,0.11222200000000002,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1289,112222,0.11222200000000002,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1289,112222,0.11222200000000002,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,1289,112222,0.11222200000000002,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-526157196,AllenCCF-Ontology-2017-SUBS,1289,112222,0.11222200000000002,#268F45,38,143,69,"Frontal pole, layer 6a",FRP6a,substructure,4,4,AllenCCF-Ontology-2017-184
AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1290,942,0.0009420000000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1290,942,0.0009420000000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1290,942,0.0009420000000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,1290,942,0.0009420000000000001,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-526322264,AllenCCF-Ontology-2017-SUBS,1290,942,0.0009420000000000001,#268F45,38,143,69,"Frontal pole, layer 6b",FRP6b,substructure,4,5,AllenCCF-Ontology-2017-184
AllenCCF-Annotation-2020-320,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,310,1328982,1.3289820000000003,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-320,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,310,1328982,1.3289820000000003,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-320,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,310,1328982,1.3289820000000003,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-320,AllenCCF-Ontology-2017-985,AllenCCF-Ontology-2017-STRU,310,1328982,1.3289820000000003,#1F9D5A,31,157,90,Primary motor area,MOp,structure,3,2,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-320,AllenCCF-Ontology-2017-320,AllenCCF-Ontology-2017-SUBS,310,1328982,1.3289820000000003,#1F9D5A,31,157,90,"Primary motor area, Layer 1",MOp1,substructure,4,6,AllenCCF-Ontology-2017-985
AllenCCF-Annotation-2020-943,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,933,3689292,3.6892920000000005,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-943,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,933,3689292,3.6892920000000005,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-943,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,933,3689292,3.6892920000000005,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-943,AllenCCF-Ontology-2017-985,AllenCCF-Ontology-2017-STRU,933,3689292,3.6892920000000005,#1F9D5A,31,157,90,Primary motor area,MOp,structure,3,2,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-943,AllenCCF-Ontology-2017-943,AllenCCF-Ontology-2017-SUBS,933,3689292,3.6892920000000005,#1F9D5A,31,157,90,"Primary motor area, Layer 2/3",MOp2/3,substructure,4,7,AllenCCF-Ontology-2017-985
AllenCCF-Annotation-2020-648,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,638,3272844,3.2728440000000005,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-648,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,638,3272844,3.2728440000000005,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-648,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,638,3272844,3.2728440000000005,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-648,AllenCCF-Ontology-2017-985,AllenCCF-Ontology-2017-STRU,638,3272844,3.2728440000000005,#1F9D5A,31,157,90,Primary motor area,MOp,structure,3,2,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-648,AllenCCF-Ontology-2017-648,AllenCCF-Ontology-2017-SUBS,638,3272844,3.2728440000000005,#1F9D5A,31,157,90,"Primary motor area, Layer 5",MOp5,substructure,4,8,AllenCCF-Ontology-2017-985
AllenCCF-Annotation-2020-844,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,834,2876428,2.8764280000000007,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-844,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,834,2876428,2.8764280000000007,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-844,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,834,2876428,2.8764280000000007,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-844,AllenCCF-Ontology-2017-985,AllenCCF-Ontology-2017-STRU,834,2876428,2.8764280000000007,#1F9D5A,31,157,90,Primary motor area,MOp,structure,3,2,AllenCCF-Ontology-2017-315
